author_id	full_name	first_name	n_pubs	gender	discipline
50458420	daems, d	david	25	m	PHYSICS AND MATERIALS SCIENCE
51065869	verschakelen, j	johny	153	m	CLINICAL MEDICINE
880401	vanneste, k	kris	28	m	EARTH SCIENCES AND TECHNOLOGY
894891	castaigne, c	catherine	15	f	CLINICAL MEDICINE
1119658	streel, e	emmanuel	15	m	BIOMEDICAL SCIENCES
1381424	bastens, b	boris	22	m	CLINICAL MEDICINE
2185778	rombaut, p	patrick	21	m	BIOMEDICAL SCIENCES
3057302	sioen, m	mark	25	m	MATHEMATICS
3315159	winkin, jj	joseph j.	31	m	ELECTRICAL ENGINEERING AND TELECOMMUNICATION
4362528	auwera, jv	j. vander	36	m	CHEMISTRY AND CHEMICAL ENGINEERING
4369883	malgrange, b	brigitte	108	f	BIOMEDICAL SCIENCES
4556091	vanormelingen, l	linda	9	f	CLINICAL MEDICINE
4825031	piccart, m	martine	692	f	CLINICAL MEDICINE
5346423	andry, g	guy	81	m	CLINICAL MEDICINE
5553006	de backer, w	wilfried	307	m	CLINICAL MEDICINE
5570154	stijlemans, b	benoit	65	m	BIOMEDICAL SCIENCES
5796659	preiser, jc	jean-charles	222	m	CLINICAL MEDICINE
5804512	tuerlinckx, f	francis	98	m	PSYCHOLOGY
6309178	naessens, a	anne	57	f	CLINICAL MEDICINE
6773553	ceulemans, a	arnout	216	m	CHEMISTRY AND CHEMICAL ENGINEERING
6787139	brasseur, jp	jean-pierre	14	m	CLINICAL MEDICINE
6788712	keppens, e	eddy	48	m	EARTH SCIENCES AND TECHNOLOGY
7084656	massin, mm	martial m.	97	m	CLINICAL MEDICINE
7534038	steemans, p	philippe	47	m	EARTH SCIENCES AND TECHNOLOGY
7753137	bakkus, m	marleen	91	f	CLINICAL MEDICINE
7753755	maes, buw	bert u. w.	133	m	CHEMISTRY AND CHEMICAL ENGINEERING
7753756	maes, b	bea	115	f	HEALTH SCIENCES
7776852	de prez, e	eric	23	m	CLINICAL MEDICINE
7997605	druet, t	tom	66	m	AGRICULTURE AND FOOD SCIENCE
8228823	ceuterick-de groote, c	chantal	32	f	CLINICAL MEDICINE
8484610	bierkens, j	johan	13	m	ENVIRONMENTAL SCIENCES AND TECHNOLOGY
9357101	baland, jm	jean-marie	39	m	ECONOMICS AND BUSINESS
9626302	vanthienen, j	jan	71	m	COMPUTER SCIENCES
10758188	luypaerts, a	anja	45	f	CLINICAL MEDICINE
10769488	van den bosch, t	thierry	66	m	CLINICAL MEDICINE
11056607	van ammel, k	karel	26	m	BIOMEDICAL SCIENCES
11604758	bertrand, b	bernard	63	m	CLINICAL MEDICINE
11617026	sibille, a	alain	8	m	CLINICAL MEDICINE
12157759	bolle, f	fabien	12	m	AGRICULTURE AND FOOD SCIENCE
12376823	emonds, mp	marie-paule	76	f	CLINICAL MEDICINE
12384179	apers, s	sandra	210	f	BIOMEDICAL SCIENCES
12679906	prinsen, e	els	117	f	BIOLOGICAL SCIENCES
12960223	servais, c	christian	26	m	EARTH SCIENCES AND TECHNOLOGY
12964886	grobben, b	bert	12	m	BASIC LIFE SCIENCES
13213369	barlow, p	patricia	34	f	CLINICAL MEDICINE
13239356	adriaensen, d	dirk	182	m	BASIC LIFE SCIENCES
13440190	claes, s	stephan	161	m	CLINICAL MEDICINE
13728913	van damme, r	raoul	138	m	BIOLOGICAL SCIENCES
13746647	de strooper, b	bart	353	m	BASIC LIFE SCIENCES
