949	4835	1
949	5262	35
949	5923	26
949	6225	1
949	6285	1
949	6425	1
949	6495	21
949	6834	1
949	7449	1
949	8116	6
949	9343	2
949	9406	1
949	9602	2
949	9641	1
949	9664	2
949	9863	3
949	9957	1
949	9960	1
949	10386	3
965	5036	2
991	4703	13
991	7458	1
991	8535	1
998	1703	1
998	7004	1
998	10207	1
999	6284	2
999	7169	1
999	9343	1
999	9434	3
1013	2168	5
1013	7756	3
1013	8775	2
1019	2304	5
1019	3183	1
1019	3184	29
1019	3244	1
1019	3391	2
1019	6124	1
1019	7665	1
1019	8163	44
1019	9014	1
1019	10435	10
1097	9930	1
1116	6954	4
1116	9047	7
1162	7843	1
1176	9552	1
1183	3595	6
1183	4835	1
1214	1829	1
1214	6699	3
1214	7701	1
1214	9092	1
1214	9364	1
1214	9374	1
1214	9375	1
1214	9382	1
1214	9552	1
1214	9553	1
1214	9641	1
1214	9957	1
1222	1840	6
1222	9240	1
1326	6064	2
1336	5262	1
1336	5285	1
1336	7449	5
1336	7885	1
1384	2294	5
1384	4657	1
1384	5268	1
1384	8628	3
1384	8965	1
1384	9682	1
1384	10040	1
1384	10324	3
1384	10326	1
1416	1475	1
1416	4000	4
1419	1475	1
1419	1515	4
1419	4000	1
1432	4000	4
1450	1477	6
1450	7409	2
1450	10040	1
1450	10083	1
1450	10305	1
1467	1509	1
1467	2290	1
1467	3781	1
1467	3982	3
1467	4007	1
1467	5262	2
1467	5368	1
1467	5430	1
1467	5445	3
1467	5455	3
1467	7409	1
1467	7458	1
1467	9682	1
1467	10231	1
1467	10326	2
1467	10404	1
1473	3998	7
1473	4301	1
1473	10128	1
1473	10326	1
1473	10336	3
1473	10340	1
1473	10355	1
1473	10364	3
1473	10403	1
1475	4000	31
1475	4879	4
1475	9654	3
1475	10128	1
1475	10326	2
1475	10336	6
1475	10356	7
1475	10364	2
1477	1529	1
1477	1658	6
1477	1791	3
1477	3988	1
1477	4011	3
1477	5266	1
1477	5272	2
1477	5284	1
