author_idA	author_idB	n_joint_papers	n_joint_papers_frac
2451690	4545483	4	.767857142857
2397125	4590559	1	.142857142857
4536497	4623746	28	2.518056943051
4377473	4642489	5	.672161172160
3903803	4649795	7	2.333333333332
3406833	4651519	4	.716666666666
394894	4669452	54	31.776190476188
957212	4673645	1	.166666666666
4642489	4673645	3	.452380952380
112917	4779492	16	1.740512265509
1543831	4779492	1	.111111111111
2147505	4779492	1	.043478260869
1210173	4800265	2	.092261904761
2001441	4800265	2	.666666666666
2789175	4800265	122	24.986240896100
1570611	4825031	7	.580048606363
2722709	4825031	1	.090909090909
647016	4849295	4	.492857142856
1039346	4891085	1	.166666666666
1410194	4950103	3	.410714285714
1768914	4951541	4	.899999999999
3031579	5056012	110	11.037841037214
4673645	5072610	1	.250000000000
1525462	5161567	3	.476190476189
3222419	5161567	6	.876623376621
3494072	5194529	2	.400000000000
4196109	5194529	14	2.083506771003
4251617	5232260	2	.166666666666
2493630	5360429	1	.200000000000
413232	5533868	1	.062500000000
3584615	5543028	16	11.816666666666
712976	5553006	7	1.189682539682
4369883	5556197	1	.066666666666
3973537	5556709	1	.142857142857
1232026	5570154	13	1.798084268671
1590098	5570154	2	.366666666666
5423304	5570154	3	.436111111111
4669961	5588968	1	.125000000000
2351832	5642937	1	.333333333333
3201593	5642937	2	.236111111111
2823593	5725629	1	.029411764705
776490	5778111	21	1.804806775844
3030857	5828304	1	.066666666666
3174158	5836849	1	.200000000000
4050485	5851147	3	.285714285713
4667	5869370	11	2.509523809522
2406006	5914716	2	.200000000000
3222419	5915024	1	.100000000000
5494273	5915024	6	.624675324675
3963894	5945700	2	.750000000000
1185134	6053449	1	.250000000000
1185134	6065649	2	.200000000000
4881611	6073853	2	.333333333332
245333	6088331	2	.333333333332
3647721	6094861	2	.181818181818
200437	6110822	3	.783333333333
1202046	6139080	3	.336111111111
1686223	6141336	2	.266666666666
1699098	6141336	1	.111111111111
2515316	6156522	7	1.027380952380
4642489	6156698	33	4.848484848480
1353032	6160622	1	.010638297872
4786071	6203544	1	.090909090909
4380783	6271276	2	.236111111111
880824	6310423	3	1.200000000000
3031579	6310423	1	.071428571428
902019	6329195	4	.767857142857
957212	6387970	1	.166666666666
1105541	6387970	1	.142857142857
3519792	6387970	1	.142857142857
4672921	6387970	1	.333333333333
2397125	6391061	14	6.226190476188
3040244	6392424	1	.142857142857
954885	6395644	2	.225000000000
4800265	6395644	3	1.095454545454
3276521	6422022	1	.166666666666
214684	6443084	6	1.464285714285
1202046	6475972	25	3.341143578637
1543831	6475972	3	.302020202020
3111578	6475972	3	.233065953653
4615621	6479581	9	1.388492063489
5161567	6479581	2	.267857142857
1859515	6518044	1	.111111111111
1768914	6529192	1	.100000000000
3930402	6578009	4	.900000000000
4779492	6578009	1	.166666666666
